2,0
2018-12-06-14:55:33.65010,20,20
2018-12-06-14:55:34.15070,26.46,23.375
2018-12-06-14:55:34.65184,26.46,23.375
2018-12-06-14:55:35.15218,26.46,23.342
2018-12-06-14:55:35.65296,26.47,23.347
2018-12-06-14:55:36.15381,26.47,23.347
2018-12-06-14:55:36.65502,26.46,23.369
2018-12-06-14:55:37.15624,26.51,23.37
2018-12-06-14:55:37.65685,26.51,23.37
2018-12-06-14:55:38.15770,26.61,23.377
2018-12-06-14:55:38.66905,26.71,23.456
2018-12-06-14:55:39.17014,26.71,23.456
2018-12-06-14:55:39.67140,26.8,23.476
2018-12-06-14:55:40.17566,26.9,23.554
2018-12-06-14:55:40.67869,26.9,23.554
2018-12-06-14:55:41.21164,26.95,23.638
2018-12-06-14:55:41.71401,26.95,23.668
2018-12-06-14:55:42.21500,26.95,23.668
2018-12-06-14:55:42.71577,26.95,23.698
2018-12-06-14:55:43.21650,26.95,23.698
2018-12-06-14:55:43.71765,26.95,23.716
2018-12-06-14:55:44.21885,26.95,23.73
