2,0
2018-12-06-15:02:24.33639,20,20
2018-12-06-15:02:24.83779,26.06,23.077
2018-12-06-15:02:25.33918,26.06,23.077
2018-12-06-15:02:25.83967,26.02,23.079
2018-12-06-15:02:26.34036,26.02,23.067
2018-12-06-15:02:26.84180,26.02,23.067
2018-12-06-15:02:27.34298,26.02,23.064
2018-12-06-15:02:27.84341,26.1,23.064
2018-12-06-15:02:28.34367,26.1,23.064
2018-12-06-15:02:28.84493,26.88,23.157
2018-12-06-15:02:29.36227,28.27,23.627
2018-12-06-15:02:29.86399,28.27,23.627
2018-12-06-15:02:30.36484,29.8,24.292
2018-12-06-15:02:30.86839,31.31,25.189
2018-12-06-15:02:31.37300,31.31,25.189
2018-12-06-15:02:31.90595,32.76,26.203
2018-12-06-15:02:32.41469,34.29,27.27
2018-12-06-15:02:32.92350,34.29,27.27
2018-12-06-15:02:33.42394,35.73,28.386
2018-12-06-15:02:33.92518,35.73,28.386
2018-12-06-15:02:34.42563,37.14,29.598
2018-12-06-15:02:34.92596,38.61,30.752
2018-12-06-15:02:35.42690,38.61,30.752
2018-12-06-15:02:35.92781,40.06,32.02
2018-12-06-15:02:36.45389,41.47,33.229
2018-12-06-15:02:36.95449,41.47,33.229
2018-12-06-15:02:37.45501,42.92,34.497
2018-12-06-15:02:37.95602,44.35,35.78
2018-12-06-15:02:38.45686,44.35,35.78
2018-12-06-15:02:38.95724,45.76,37.043
2018-12-06-15:02:39.45770,47.13,38.293
2018-12-06-15:02:39.96012,47.13,38.293
2018-12-06-15:02:40.46057,48.54,39.572
2018-12-06-15:02:40.96122,49.92,40.825
2018-12-06-15:02:41.46150,49.92,40.825
2018-12-06-15:02:41.96267,51.28,42.102
2018-12-06-15:02:42.46321,51.28,42.102
2018-12-06-15:02:42.96363,52.63,43.383
2018-12-06-15:02:43.46453,54.02,44.638
2018-12-06-15:02:43.96497,54.02,44.638
2018-12-06-15:02:44.46574,55.45,45.947
2018-12-06-15:02:44.96631,56.76,47.221
2018-12-06-15:02:45.46681,56.76,47.221
2018-12-06-15:02:45.99513,58.1,48.517
2018-12-06-15:02:46.49581,59.46,49.786
2018-12-06-15:02:46.99627,59.46,49.786
2018-12-06-15:02:47.49726,60.81,51.033
2018-12-06-15:02:47.99807,62.11,52.267
2018-12-06-15:02:48.49912,62.11,52.267
