No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
1,11.69,7.5638,26560607.56,215.94,0,1,0,6
2,15.949,5.5525,4220733.28,83.47,0,1,1,12
3,20.319,4.367,596379.09,56.92,-1,2,0,6
4,21.72,4.0885,959018.01,133.96,0,0,2,2
5,23.505,3.7819,12287.29,9.51,0,2,0,6
6,24.734,3.5967,2354417.59,98.15,0,1,2,12
7,25.936,3.4325,12616366.34,238.86,0,2,1,12
8,29.914,2.9846,8877083.64,233.17,-1,2,2,12
9,31.262,2.8588,4737761.42,178.6,-1,3,0,12
10,32.217,2.7763,10379059.33,273.07,0,2,2,12
11,33.17,2.6987,1661297.98,79.73,-1,3,1,24
12,34.963,2.5643,596364.5,71.54,0,1,3,12
13,35.579,2.5213,164700.4,54.19,0,3,0,6
14,37.291,2.4093,19691.74,13.95,0,3,1,12
15,38.39,2.3429,2025225.63,103.31,-1,3,2,24
