No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
6,15.846,5.5882,40166958.83,626.58,2,0,0,2
4,15.615,5.6705,38457685.07,603.96,0,2,0,2
5,15.699,5.6402,36990772.14,595.6,0,0,2,2
14,22.318,3.9802,33270149.68,573.93,2,2,0,4
15,22.378,3.9697,29615749.82,543,2,0,2,4
13,22.213,3.9989,29609975.24,538.77,0,2,2,4
36,31.53,2.8352,19752563.45,901.51,0,4,0,2
68,39.008,2.3072,16945977.92,526.83,2,4,2,8
38,32.006,2.7941,16298096.59,832.26,4,0,0,2
70,39.306,2.2904,13404199.93,472.52,4,2,2,8
57,35.798,2.5063,13198838.52,598.18,4,2,0,4
54,35.475,2.5284,13086345.63,589.74,2,4,0,4
58,35.837,2.5037,12647492.79,586.25,4,0,2,4
53,35.406,2.5332,11446413.52,550.38,0,4,2,4
37,31.703,2.8201,11254062.47,684.52,0,0,4,2
40,32.724,2.7344,10807297.34,490.85,1,0,4,4
69,39.116,2.3011,10583540.43,417.62,2,2,4,8
56,35.632,2.5177,10365391.55,527.39,2,0,4,4
55,35.524,2.5251,8202824.84,467.61,0,2,4,4
26,27.404,3.252,6829443.14,228.14,2,2,2,8
61,36.45,2.463,6744019.18,308.39,1,2,4,8
7,17.599,5.0353,5421161.66,181.23,1,0,2,4
16,23.611,3.7651,2804611,124.96,1,2,2,8
29,28.695,3.1085,2448322.3,202.87,3,0,2,4
59,36.335,2.4705,2254686.68,177.7,1,4,2,8
34,29.743,3.0014,1224504.8,105.41,3,2,1,8
31,29.581,3.0174,1017896.76,95.55,1,2,3,8
63,36.702,2.4467,831350.24,109.1,4,2,1,8
22,25.154,3.5375,586904.47,86.4,3,0,1,4
44,33.001,2.7121,538449.55,110.57,4,0,1,4
42,32.83,2.7258,453541.57,71.35,3,2,2,8
64,36.73,2.4448,423980.83,77.98,4,1,2,8
21,24.965,3.5638,420692.17,72.57,1,0,3,4
32,29.584,3.0171,408296.85,60.52,2,3,1,8
23,26.086,3.4131,402728.94,52.59,1,3,1,8
1,11.054,7.9978,380751.79,29.92,0,1,1,4
3,13.604,6.504,366268.15,25.61,1,1,1,8
65,37.343,2.4061,363709.04,73.55,2,3,3,8
51,34.702,2.583,271983.64,58.69,3,3,1,8
27,28.483,3.1311,270418.87,66.89,2,3,0,4
18,23.728,3.7468,244712.02,37.1,2,1,2,8
30,29.524,3.0231,241797.93,46.47,1,3,2,8
12,19.362,4.5808,238370.48,29.65,2,1,1,8
41,32.738,2.7333,213091.77,48.76,2,2,3,8
19,24.82,3.5844,208783.44,50.81,0,3,1,4
43,32.99,2.713,180180.03,63.94,4,1,0,4
67,37.472,2.3981,156531.58,48.43,3,2,3,8
28,28.59,3.1197,127092.96,46.04,2,0,3,4
48,33.844,2.6465,123320.82,54.38,3,0,3,4
8,17.679,5.0127,95705.39,24.19,2,1,0,4
17,23.686,3.7534,92486.04,22.77,2,2,1,8
50,34.561,2.5932,90079.02,33.62,1,3,3,8
35,29.777,2.998,81673.08,27.26,3,1,2,8
62,36.529,2.4578,77287.93,33.09,2,1,4,8
33,29.676,3.0079,68373.98,24.85,2,1,3,8
24,26.19,3.3999,64226.39,21.09,1,1,3,8
60,36.386,2.4672,46458.43,25.55,2,4,1,8
39,32.685,2.7376,45412.53,22.47,2,3,2,8
9,17.698,5.0074,45358.18,16.67,2,0,1,4
66,37.425,2.401,38483.37,23.98,3,3,2,8
11,19.271,4.6021,37743.34,11.74,1,1,2,8
49,33.959,2.6377,25696.12,17.62,4,1,1,8
2,11.135,7.9394,22835.39,7.38,1,0,1,4
47,33.69,2.6582,15786.04,13.69,1,1,4,8
10,19.219,4.6144,8594.6,5.59,1,2,1,8
20,24.928,3.5691,6417.62,8.95,0,1,3,4
25,26.37,3.377,6222.57,6.61,3,1,1,8
52,34.782,2.5772,3779.77,6.94,3,1,3,8
46,33.589,2.6659,1894.5,6.69,0,3,3,4
45,33.536,2.6701,41.89,0.7,1,4,1,8
