No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
6,24.86,3.5787,7053975.16,209.2,1,1,1,8
4,22.847,3.8892,5296947.68,234.67,1,0,2,4
12,32.218,2.7762,3893003.59,204.83,2,1,1,8
13,35.734,2.5107,3478265.37,306.47,0,1,3,4
5,23.328,3.8102,2934967.49,252.46,2,0,0,2
3,21.91,4.0534,2373990.08,150.39,0,1,1,4
18,39.726,2.2671,1929379.18,362.8,0,2,0,2
2,19.613,4.5226,980676.57,121.88,0,0,2,2
19,39.832,2.2613,943476,254.46,0,0,4,2
10,30.657,2.9139,807282.63,125.04,2,0,2,4
9,30.623,2.917,601744.3,107.83,2,1,0,4
16,37.693,2.3846,356812.05,73.6,1,1,3,8
8,30.252,2.952,319960.58,54.87,1,1,2,8
17,38.028,2.3644,224247.93,83.33,2,0,3,4
11,31.895,2.8036,153547.7,56.91,1,0,3,4
7,25.344,3.5114,124892.64,40.17,2,0,1,4
1,15.191,5.8279,97185.17,20.87,1,0,1,4
14,36.629,2.4514,95039.06,36.81,2,1,2,8
15,36.72,2.4455,3671.89,10.26,3,0,1,4
