No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
1,8.468,10.4337,102611878.8,530.98,0,0,-3,2
226,25.593,3.4779,35702817.92,970.48,0,0,-9,2
30,14.312,6.1837,33970615.61,519.39,2,0,0,2
32,14.609,6.0585,32855004.43,521.6,-2,0,1,2
151,22.709,3.9126,32423956.78,815.89,0,0,-8,2
33,14.695,6.0231,30570544.22,506.16,0,2,0,2
308,28.493,3.1301,27824801.45,959.96,0,0,-10,2
34,14.908,5.9379,25124426.19,465.61,0,2,1,2
35,15.025,5.8916,21687688.32,436.08,0,-2,1,2
100,19.839,4.4716,19979753.12,556.66,0,0,-7,2
340,29.64,3.0116,19161404.71,830.89,0,4,0,2
31,14.571,6.0744,19103494.74,396.66,2,0,1,2
40,15.431,5.7375,17110379.61,398.02,-2,0,2,2
110,20.64,4.2998,17094701.61,536.43,2,2,0,2
343,29.719,3.0038,17075214.51,786.59,0,4,1,2
109,20.497,4.3296,16151635.07,517.67,-2,2,0,2
323,29.017,3.0748,15480749.82,730.08,-4,0,1,2
421,31.412,2.8455,15408480.15,793.04,0,0,-11,2
112,20.665,4.2948,15139196.7,505.44,-2,2,1,2
319,28.853,3.0918,15081728.79,716.27,4,0,0,2
464,32.551,2.7485,14681174.39,804.45,-4,2,1,2
474,32.794,2.7287,14433120.24,804.07,-4,-2,1,2
15,11.298,7.8252,13652061.83,259.06,0,0,-4,2
345,29.841,2.9917,13621191.83,705.64,0,-4,1,2
115,20.892,4.2485,13212013.46,477.57,-2,-2,1,2
466,32.62,2.7429,12803362.95,752.95,4,2,0,2
481,32.926,2.7181,12715240.31,757.99,-4,2,2,2
330,29.353,3.0403,12286174.3,658.45,2,0,9,2
459,32.432,2.7583,11858359.69,720.13,-4,2,0,2
42,15.64,5.6613,11479314.53,330.52,0,2,2,2
506,33.222,2.6945,11421325.33,725.4,-4,-2,2,2
262,26.859,3.3167,10674794.82,558.43,2,0,8,2
655,36.899,2.434,10640087.84,785.22,4,0,8,2
494,33.046,2.7085,10287027.13,684.48,-2,4,1,2
501,33.15,2.7002,10271872.04,686.32,2,4,0,2
783,38.806,2.3187,10139544.04,810.37,4,0,9,2
335,29.463,3.0292,9849042.59,591.9,-4,0,2,2
114,20.78,4.2713,9749479.51,407.95,2,2,1,2
485,32.966,2.7149,9579480.44,658.78,-2,4,0,2
356,30.075,2.9689,9428059.23,592.01,0,4,2,2
322,28.977,3.0789,9269670.7,564.11,4,0,1,2
511,33.341,2.6852,9135397.92,651.28,-2,-4,1,2
352,29.912,2.9847,9119374.35,578.86,0,-2,9,2
437,31.931,2.8005,8884816.49,612.93,2,0,10,2
331,29.359,3.0397,8722119.72,554.91,0,2,9,2
63,16.982,5.2168,8244642.91,304.72,0,0,-6,2
45,15.864,5.5819,8214302.76,283.68,0,-2,2,2
436,31.917,2.8017,8204212.77,588.7,0,2,10,2
504,33.213,2.6953,8088414.31,610.26,2,4,1,2
521,33.549,2.669,7772063.19,604.79,-4,2,3,2
470,32.702,2.7362,7723238.75,586.4,4,2,1,2
578,35.146,2.5514,7720705.11,634.1,4,0,7,2
513,33.38,2.6822,7664292.81,597.29,-2,4,2,2
462,32.487,2.7538,7654392.54,579.63,0,-2,10,2
580,35.177,2.5491,7605540.21,629.98,-2,2,10,2
606,35.788,2.507,7352874.47,631.2,-2,-2,10,2
515,33.431,2.6782,7194016.14,579.64,-2,-2,9,2
113,20.723,4.2828,7164164.99,348.72,2,-2,1,2
194,24.135,3.6845,6895725.99,401.02,-1,-3,2,2
277,27.421,3.25,6875299.3,458.12,0,-2,8,2
203,24.614,3.6139,6769638.11,405.61,-1,3,3,2
186,23.818,3.7329,6539969.33,385.15,-1,3,2,2
212,25.03,3.5548,6537427.99,405.67,-1,-3,3,2
477,32.838,2.7252,6493047.02,540.09,-2,2,9,2
465,32.572,2.7468,6426118.94,532.58,4,-2,1,2
532,33.895,2.6426,6370856.62,553.7,-4,-2,3,2
498,33.14,2.701,6252485.49,535.27,2,-4,1,2
851,39.98,2.2533,6100722.55,649.73,0,-4,9,2
543,34.353,2.6084,5828487.1,537.4,0,0,-12,2
119,21.218,4.184,5825470.82,322.25,-2,2,2,2
180,23.568,3.7719,5742959.76,356.96,2,-2,4,2
266,26.888,3.3132,5719597.46,409.24,0,2,8,2
803,39.121,2.3008,5709289.41,613.55,0,4,9,2
179,23.558,3.7735,5700958.6,355.49,-1,-3,1,2
369,30.317,2.9458,5695061.41,464.08,0,-4,2,2
229,25.709,3.4624,5643386.09,387.68,-1,3,4,2
530,33.782,2.6512,5534358.25,514.2,-2,-4,2,2
