No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
2,8.054,10.9682,107346048.7,363.37,0,1,1,4
37,25.649,3.4703,32807045.55,887.71,1,0,2,2
1,6.929,12.7465,31702725.11,240.38,0,2,0,2
48,28.101,3.1729,29099100.63,644.94,-1,1,3,4
35,25.513,3.4885,19069910.22,476.14,0,7,1,4
3,10.05,8.7947,18540186.82,188.2,0,2,1,4
47,27.977,3.1866,17246733.6,699.25,0,8,0,2
102,37.395,2.4029,16588333.62,635.36,-1,7,3,4
17,20.891,4.2488,15426663.16,499.32,0,6,0,2
65,31.251,2.8599,13744098.11,489.96,1,1,3,4
27,23.132,3.842,13178109.57,509.4,-1,0,2,2
110,38.317,2.3472,12688380.26,568.08,1,8,2,4
119,39.65,2.2713,11857604.85,566.36,-2,-1,1,4
99,37.136,2.4191,11025361.83,514.72,0,1,5,4
122,39.892,2.2581,10992537.91,548.29,1,7,3,4
78,33.309,2.6877,9690210.69,436.62,1,6,2,4
28,23.397,3.7991,9333625.25,306.49,-1,-1,2,4
118,39.579,2.2752,8459483.68,675.43,2,0,0,2
8,15.689,5.6439,6910533.64,178.55,0,4,1,4
116,39.494,2.2799,6463887.31,416.68,-1,-9,2,4
23,22.66,3.9209,6394930.52,245.97,1,2,1,4
98,36.608,2.4527,6170854.55,380.08,-1,-8,2,4
7,14.979,5.9096,6115884.88,160.49,0,1,2,4
58,29.593,3.0162,6086468.41,309.76,0,1,4,4
79,33.673,2.6595,5890045.3,486.29,-1,0,4,2
53,28.944,3.0824,4979033.96,274.36,0,8,1,4
40,26.047,3.4183,4923082.87,246.77,0,4,3,4
42,26.6,3.3484,4732792.85,246.85,1,2,2,4
5,13.884,6.3733,4310663.92,176.79,0,4,0,2
13,19.803,4.4796,4136100.59,173.55,1,1,0,4
67,31.365,2.8497,3603461.56,251.74,-1,-6,2,4
34,25.422,3.5008,3567013.36,205.22,-1,-3,2,4
91,35.586,2.5208,3497342.24,278.81,1,8,1,4
74,32.793,2.7289,3486525.28,258.12,1,7,1,4
95,35.967,2.495,3145310.57,267,0,10,1,4
39,25.89,3.4386,3053487.99,193.22,1,1,2,4
72,32.429,2.7586,2763787.29,227.45,0,9,1,4
76,33.039,2.709,2730358.28,230.02,-1,5,3,4
82,34.156,2.623,2666281.17,234.42,1,4,3,4
87,34.922,2.5672,2638878.04,238.03,0,9,2,4
19,21.831,4.0679,2510185.18,148.64,1,1,1,4
104,37.653,2.3871,2436017.53,245,0,2,5,4
33,24.499,3.6306,2239194.48,156.93,-1,-4,1,4
6,14.569,6.0751,2040028.04,127.54,0,0,2,2
90,35.336,2.5381,1948409.36,206.76,-1,3,4,4
101,37.366,2.4047,1912631.62,215.59,1,9,0,4
18,21.27,4.1739,1891543.96,125.82,-1,-2,1,4
54,29.079,3.0684,1889364.04,169.75,-1,-5,2,4
41,26.229,3.3949,1881183.76,153.56,1,5,0,4
125,39.962,2.2543,1728135.1,217.74,-1,6,4,4
31,24.175,3.6785,1540275.38,128.49,-1,-2,2,4
56,29.279,3.0478,1498090.99,152.14,1,4,2,4
61,30.222,2.9548,1493734.87,156.53,0,2,4,4
69,31.682,2.822,1480569.89,162.89,0,8,2,4
86,34.682,2.5844,1341712.9,168.66,-1,-8,1,4
115,38.786,2.3199,1297158.6,183.65,1,3,4,4
96,36.327,2.471,1235427.75,168.87,0,6,4,4
60,30.189,2.9581,995896.45,127.68,1,6,1,4
85,34.421,2.6034,987653.86,143.7,-1,2,4,4
10,17.934,4.942,961158.85,75.94,0,3,2,4
100,37.257,2.4115,942880.37,213.5,1,0,4,2
57,29.38,3.0376,910478.9,168.28,0,0,4,2
32,24.326,3.6561,909195.7,99.32,0,3,3,4
112,38.537,2.3343,902157.45,152.27,1,9,1,4
93,35.798,2.5063,835165.64,137,1,5,3,4
52,28.76,3.1016,827318.66,111.16,-1,2,3,4
117,39.555,2.2765,819365.87,148.56,0,11,1,4
64,31.246,2.8603,798740.87,118.1,0,3,4,4
84,34.337,2.6095,697930.77,120.52,0,5,4,4
121,39.743,2.2662,685978.78,136.51,2,1,0,4
36,25.563,3.4818,661631.87,88.86,0,6,2,4
43,26.679,3.3386,649538.63,91.71,-1,-5,1,4
88,35.094,2.555,556148.97,109.77,-1,6,3,4
25,22.751,3.9054,548889.56,72.34,0,5,2,4
94,35.827,2.5044,547481.45,111,0,8,3,4
55,29.138,3.0622,510911.26,88.44,-1,-6,1,4
26,23.023,3.8599,493175.3,69.37,0,2,3,4
108,38.135,2.358,438813.86,105.19,-1,5,4,4
105,37.695,2.3845,396865.23,98.99,-1,-9,1,4
103,37.43,2.4007,376509.4,95.8,1,1,4,4
21,22.146,4.0107,360080.28,57.09,0,6,1,4
9,16.149,5.4841,350438.18,41.37,0,2,2,4
63,31.151,2.8688,345723.16,77.48,1,5,2,4
4,12.702,6.9636,328464.94,31.6,0,3,1,4
14,20.177,4.3974,253498.36,43.76,0,4,2,4
15,20.387,4.3525,252760.98,44.14,-1,-1,1,4
70,31.82,2.81,238054.05,65.58,-1,-7,1,4
66,31.27,2.8582,215442.36,61.38,-1,4,3,4
62,30.468,2.9316,212624.73,59.51,0,6,3,4
20,22.142,4.0115,199481.7,42.48,1,3,0,4
12,19.492,4.5504,173470.19,49.49,1,0,0,2
123,39.908,2.2572,156475.63,65.44,-1,8,3,4
68,31.437,2.8433,152457.78,51.89,1,7,0,4
45,27.745,3.2127,147144.28,45.31,1,3,2,4
71,31.85,2.8074,145068.4,51.24,1,2,3,4
114,38.763,2.3212,144073.32,61.17,0,9,3,4
46,27.815,3.2049,135395.63,43.57,1,5,1,4
111,38.501,2.3364,133859.81,58.6,0,3,5,4
49,28.115,3.1713,100938.85,38,0,5,3,4
97,36.583,2.4543,97673.11,47.79,-1,4,4,4
59,29.829,2.9929,91496.16,38.27,-1,3,3,4
