No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
2,14.021,6.3115,3711034.32,118.87,0,1,0,4
7,28.257,3.1558,2828046.64,214.49,0,2,0,4
13,40.373,2.2323,2050498.94,190.4,0,2,2,8
1,14.01,6.3161,1939879.16,121.45,0,0,1,2
6,28.236,3.1581,1346337.48,209.13,0,0,2,2
8,31.656,2.8242,1252993.7,114.02,0,1,2,8
9,31.67,2.823,1192706.29,111.29,0,2,1,8
10,31.674,2.8226,1163592.87,109.95,1,2,0,8
16,42.941,2.1045,1102711.67,105.78,1,2,2,16
24,50.008,1.8224,1102288.48,177.7,2,2,2,8
14,40.388,2.2315,1056976.83,193.4,2,2,0,4
5,24.402,3.6448,837686.84,70.69,1,1,1,8
53,73.43,1.2885,708783.82,153.21,2,4,2,16
17,42.952,2.104,537005.65,104.42,2,2,1,8
46,66.16,1.4113,482933.82,160.95,2,4,0,8
45,66.149,1.4115,477477.64,160.01,0,4,2,8
44,66.117,1.4121,467479.81,158.25,0,2,4,8
35,60.414,1.531,408946.97,94.82,2,3,2,16
32,58.443,1.5779,350927.09,169.26,0,4,0,4
52,73.399,1.289,347973.4,151.76,2,2,4,8
25,52.185,1.7514,330235.8,102.1,0,2,3,8
3,19.871,4.4645,322403.23,35.41,0,1,1,8
26,52.201,1.7509,314764.33,99.71,0,3,2,8
27,52.214,1.7505,306893.2,98.49,2,3,0,8
47,67.971,1.378,292673.12,91.16,1,2,4,16
48,68.003,1.3775,289365.66,90.68,1,4,2,16
49,68.011,1.3773,288174.96,90.51,2,4,1,16
18,42.956,2.1038,264357.34,103.62,0,3,0,4
77,87.284,1.1161,230894.15,140.9,0,4,4,8
23,47.752,1.9031,217585.63,52.97,1,3,1,16
34,60.4,1.5314,212824.19,96.71,2,2,3,8
33,60.38,1.5318,208453.55,95.68,0,1,4,8
36,60.423,1.5308,202840.53,94.46,0,4,1,8
37,60.426,1.5308,201220.42,94.08,1,4,0,8
70,82.157,1.1723,181559.94,85.16,2,4,3,16
4,19.878,4.4629,178191.79,37.25,1,1,0,4
69,82.14,1.1725,176789.59,84.02,2,3,4,16
72,82.17,1.1721,176326.03,83.93,3,4,2,16
31,58.396,1.579,168490.95,165.71,0,0,4,2
80,88.992,1.0991,150218.3,81.1,1,4,4,16
81,89.022,1.0988,150213.79,81.11,2,5,2,16
12,34.785,2.577,149409.14,30.84,1,2,1,16
15,42.923,2.1054,146584.71,109.03,0,0,3,2
78,87.324,1.1157,118016.63,142.49,4,4,0,4
56,75.19,1.2626,113096.67,88.47,0,4,3,8
55,75.172,1.2629,110254.8,87.33,0,3,4,8
58,75.213,1.2623,108820.45,86.8,3,4,0,8
22,47.725,1.9041,95407.32,49.57,1,1,3,8
68,82.117,1.1728,94172.35,86.7,0,2,5,8
71,82.17,1.1721,88163.01,83.93,0,5,2,8
73,82.18,1.172,87769.15,83.75,2,5,0,8
79,88.97,1.0993,79985.38,83.68,2,2,5,8
42,64.255,1.4485,76530.02,43.9,1,3,3,16
82,89.029,1.0987,75194.94,81.16,4,4,1,8
11,34.772,2.5779,68921.47,29.61,1,1,2,8
57,75.213,1.2623,54410.23,86.8,0,5,0,4
67,78.715,1.2147,44819.27,40.96,1,5,1,16
29,54.331,1.6872,41279.32,26.72,1,3,2,16
43,64.277,1.448,41261.44,45.61,3,3,1,8
30,54.34,1.6869,40405.22,26.44,2,3,1,16
28,54.316,1.6876,37642.8,25.51,1,2,3,16
21,45.405,1.9959,35759.23,28.69,1,3,0,8
20,45.402,1.996,34618.86,28.22,0,3,1,8
19,45.374,1.9972,29755.56,26.15,0,1,3,8
54,75.149,1.2632,29377.07,90.13,0,0,5,2
40,62.367,1.4877,26694.05,25.1,1,4,1,16
66,78.695,1.2149,21242.34,39.87,3,3,3,8
65,78.654,1.2155,19900.19,38.58,1,1,5,8
50,69.819,1.346,19293.28,24.06,2,3,3,16
60,76.931,1.2383,18327.13,25.7,1,3,4,16
38,62.325,1.4886,15826.9,27.31,1,1,4,8
61,76.949,1.2381,15178.02,23.39,1,4,3,16
63,76.969,1.2378,14846.45,23.14,3,4,1,16
74,83.837,1.153,14435.14,24.34,1,2,5,16
39,62.345,1.4882,13023.7,24.78,0,3,3,8
75,83.89,1.1524,12906.1,23.02,1,5,2,16
76,83.897,1.1523,12217.16,22.4,2,5,1,16
51,69.832,1.3458,10079.34,24.6,3,3,2,8
59,76.908,1.2387,8667.45,24.98,0,1,5,8
64,76.972,1.2378,7430.53,23.15,1,5,0,8
62,76.969,1.2378,7423.23,23.14,0,5,1,8
41,62.37,1.4876,6740,25.22,3,3,0,4
