No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
2,14.143,6.2572,53622494.62,455.88,1,1,0,4
8,28.507,3.1286,37316627.77,786.5,2,2,0,4
1,13.999,6.321,31505234.01,489.07,0,0,2,2
16,40.54,2.2234,27561501.34,701.27,2,2,4,8
12,31.957,2.7983,22617669.86,489.39,1,3,0,8
7,28.213,3.1605,21687667.7,838.65,0,0,4,2
22,43.144,2.0951,21036660.57,464.46,1,3,4,16
10,31.692,2.8211,18291994.44,436.18,1,1,4,8
11,31.891,2.8039,13641120.46,379.22,2,2,2,8
31,50.304,1.8124,12253399.25,596.46,0,4,4,8
17,40.754,2.2122,11576459.79,646.53,0,4,0,4
6,24.539,3.6247,9816427.05,243.43,0,2,2,8
5,23.538,3.7767,9171220.93,159.27,1,2,1,16
69,68.536,1.3681,9060511.76,511.57,3,5,4,16
51,61.006,1.5176,6375083.15,535.24,3,5,0,8
61,66.201,1.4105,6355805.54,584.28,2,2,8,8
20,42.698,2.1159,5999619.15,245.17,1,4,1,16
66,68.085,1.376,5541740.17,397.35,1,3,8,16
77,74.039,1.2794,4831534.21,403.13,2,6,4,16
120,89.456,1.0946,4683670.81,453.85,3,5,8,16
49,60.846,1.5212,4615456.11,321.09,1,5,4,16
9,30.975,2.8848,4524476.6,149.66,1,2,3,16
14,35.04,2.5588,4442902.52,169.51,1,3,2,16
28,47.504,1.9124,4387168.46,236.46,1,4,3,16
4,20.052,4.4245,4371462.92,186.16,0,2,0,4
23,43.296,2.0881,4242383.5,296.14,0,4,2,8
62,66.657,1.402,4093366.21,472.33,4,4,4,8
76,73.603,1.2859,3912916.15,510.23,0,4,8,8
105,82.91,1.1635,3741109.9,388.98,1,7,4,16
34,52.306,1.7476,3707246.68,342.99,2,2,6,8
3,19.95,4.4469,3661500.23,119.84,1,1,2,8
36,52.702,1.7354,3455678.44,334,1,5,0,8
63,66.809,1.3991,3252353.43,422.04,2,6,0,8
38,54.684,1.6771,3166004.55,235.76,2,4,4,16
46,60.365,1.5321,3011671.29,363.58,1,1,8,8
45,59,1.5643,2973692.26,498,4,4,0,4
44,58.347,1.5803,2744076.14,668.12,0,0,8,2
54,62.934,1.4757,2732774.92,256.47,3,5,2,16
58,64.416,1.4452,2716390.12,262.28,1,6,1,16
27,45.821,1.9787,2685098.38,251.15,2,4,0,8
41,56.17,1.6362,2650743.13,222.4,1,4,5,16
35,52.526,1.7408,2470715.14,281.35,3,3,4,8
84,75.981,1.2514,2313971.72,403.93,1,7,0,8
67,68.134,1.3751,2300120.36,256.19,1,6,3,16
21,42.888,2.107,2222172.18,424.12,0,0,6,2
109,84.657,1.1439,2165536.24,299.94,4,6,4,16
33,52.143,1.7527,2128311.79,183.11,3,4,1,16
102,82.488,1.1684,2049859.7,286.93,1,5,8,16
24,43.347,2.0857,2030658.8,290.14,3,3,0,4
113,87.718,1.1117,2011365.13,416.88,4,4,8,8
13,34.858,2.5718,1958892.98,158.27,0,2,4,8
18,42.389,2.1307,1889771.62,136.48,1,2,5,16
15,37.292,2.4093,1745278.36,113.75,2,3,1,16
80,75.308,1.2609,1733389.79,245.25,1,6,5,16
42,56.338,1.6317,1684023.04,177.86,3,4,3,16
48,60.646,1.5257,1681266.45,273.06,0,4,6,8
88,77.443,1.2314,1537039.48,236.66,3,5,6,16
64,67.758,1.3818,1507435.52,206.2,1,4,7,16
72,70.391,1.3365,1503430.41,302.83,0,6,4,8
91,77.765,1.2271,1319071.88,311.13,4,6,0,8
111,85.675,1.1329,1268549.43,231.19,1,6,7,16
75,71.905,1.312,1262670.59,200.42,3,6,1,16
87,77.193,1.2348,1248465.48,212.7,2,4,8,16
37,54.47,1.6832,1232453.48,146.44,1,3,6,16
29,47.773,1.9023,1200611.08,176.06,0,2,6,8
19,42.595,2.1208,1194552.9,109.1,2,3,3,16
122,89.571,1.0935,1158982.47,225.88,1,8,1,16
57,64.184,1.4499,1135106.67,168.88,3,4,5,16
82,75.452,1.2589,1105531.97,196.2,3,6,3,16
100,82.171,1.1721,1077149.08,293.37,2,2,10,8
55,62.973,1.4748,1042427.61,317.01,0,6,0,4
50,60.966,1.5185,924695.83,203.7,4,4,2,8
81,75.405,1.2596,911577.13,251.82,3,3,8,8
99,81.9,1.1753,903799.36,189.58,1,4,9,16
101,82.393,1.1695,886113.25,188.5,3,6,5,16
40,55.918,1.643,828762.96,123.72,1,2,7,16
70,68.648,1.3661,727989.63,145.25,2,6,2,16
79,75.091,1.264,722132.92,157.89,3,4,7,16
124,89.874,1.0906,712211.76,177.32,3,7,4,16
32,51.877,1.7611,666570.61,101.88,2,3,5,16
117,89.142,1.0976,648054.54,238.39,0,4,10,8
89,77.729,1.2276,600105.74,148.33,1,7,2,16
83,75.657,1.256,522557.02,191.23,4,4,6,8
52,62.344,1.4882,503890.81,154.14,0,2,8,8
116,88.873,1.1002,488140.56,146.11,3,4,9,16
104,82.734,1.1656,472663.06,138.06,2,6,6,16
78,75.08,1.2642,451862.31,353.2,0,0,10,2
114,88.277,1.1061,426243.39,272.23,0,8,0,4
30,48.149,1.8883,425954.83,74.82,2,4,2,16
73,71.17,1.3238,403280.66,112.13,1,2,9,16
107,83.05,1.1619,399882.62,180.05,3,7,0,8
25,45.382,1.9968,395170.77,95.3,1,1,6,8
108,83.92,1.1521,394464.47,127.32,1,3,10,16
56,63.951,1.4546,353913.93,93.93,2,3,7,16
68,68.21,1.3738,288496.56,90.83,4,5,1,16
74,71.832,1.3132,248556.05,88.83,4,5,3,16
112,86.095,1.1285,245069.17,101.9,5,6,1,16
93,78.648,1.2156,240125.03,133.99,0,2,10,8
115,88.524,1.1037,236541.19,101.53,1,2,11,16
106,82.91,1.1635,236362.65,138.27,5,5,4,8
121,89.501,1.0941,227540.79,100.05,5,6,3,16
92,78.374,1.2191,199021.09,86.01,2,3,9,16
95,78.872,1.2127,193305.04,85.2,4,5,5,16
90,77.729,1.2276,181791.62,115.46,5,5,2,8
43,56.422,1.6295,157386.01,54.47,2,5,1,16
118,89.152,1.0975,147748.65,80.49,4,5,7,16
85,75.981,1.2514,133931.71,137.43,5,5,0,4
59,64.559,1.4424,132297.57,58.02,2,4,6,16
47,60.418,1.5309,127879.29,53.03,2,5,3,16
39,54.812,1.6735,117711.37,45.58,1,5,2,16
110,84.762,1.1428,98505.47,64.02,3,7,2,16
86,76.871,1.2392,96937.04,83.52,1,1,10,8
65,67.984,1.3778,89843.25,50.52,2,5,5,16
98,79.5,1.2046,79105.38,54.85,4,6,2,16
71,70.205,1.3396,60855.39,42.97,1,5,6,16
94,78.659,1.2154,60026.73,47.38,2,5,7,16
60,64.868,1.4363,22102.14,33.71,0,6,2,8
97,79.216,1.2082,16888.66,35.74,0,6,6,8
125,89.979,1.0896,11330.16,31.64,0,8,2,8
26,45.773,1.9807,4928.63,10.75,3,3,2,8
53,62.62,1.4823,1822.04,9.31,3,3,6,8
123,89.571,1.0935,20.47,0.95,4,7,1,16
96,79.085,1.2099,8.27,0.56,2,7,1,16
103,82.533,1.1679,7.46,0.55,2,7,3,16
119,89.362,1.0955,6.34,0.53,2,7,5,16
