No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
19,25.594,3.4777,12066498.17,398.97,-1,1,2,4
2,8.664,10.1973,10667788.84,175.21,1,0,0,2
3,10.659,8.2928,8995439.92,198.27,-1,0,1,2
22,26.112,3.4098,5281592.73,381.27,2,0,2,2
30,28.848,3.0924,4308460.85,270.66,-2,-1,2,4
38,32.625,2.7425,3608984.17,282.72,3,1,0,4
31,28.964,3.0803,2711551.63,304.96,3,0,1,2
57,38.767,2.321,2635595.16,412.69,0,2,0,2
41,33.458,2.6761,2427837.13,238.31,-2,1,3,4
63,39.747,2.2659,2422370.52,287.62,-4,-1,1,4
56,38.305,2.3479,1742001.54,234.12,2,1,3,4
54,38.069,2.3619,1626581.33,317.76,-3,0,4,2
55,38.248,2.3512,1524304.2,218.64,0,1,4,4
11,20.78,4.2712,1243069.22,103,0,1,1,4
44,34.126,2.6252,1205949.33,242.69,-2,0,4,2
10,20.591,4.31,1106004.96,136.11,2,0,1,2
43,33.762,2.6527,845342.48,142.01,1,1,3,4
9,19.876,4.4634,788344.86,110.79,1,0,2,2
5,16.239,5.4539,787566.58,89.96,0,0,2,2
14,21.926,4.0505,782677.94,86.42,-1,-1,1,4
23,26.161,3.4036,772079.74,103.28,-2,-1,1,4
1,8.099,10.9078,770484.35,44,0,0,1,2
15,23.16,3.8373,756328.42,89.94,1,1,1,4
12,21.011,4.2248,726506.66,79.65,1,1,0,4
64,39.8,2.2631,705205.61,155.42,1,2,0,4
42,33.632,2.6626,698647.43,181.82,3,0,2,2
17,24.462,3.6359,628953.32,122.83,0,0,3,2
36,32.368,2.7637,457765.7,99.83,-3,-1,1,4
18,25.173,3.5349,389391.37,70.43,0,1,2,4
25,27.206,3.2751,387857.25,107.91,-2,0,3,2
50,35.851,2.5028,316881,131.29,-4,0,2,2
53,37.85,2.375,306601.76,96.93,-3,-1,3,4
35,32.361,2.7643,287479.21,111.86,-3,0,3,2
60,39.4,2.2851,253941.04,92.22,-2,1,4,4
58,38.965,2.3096,232337.66,87.13,3,1,2,4
61,39.615,2.2732,216091.05,121.04,3,0,3,2
13,21.413,4.1464,197435.64,59.89,-2,0,2,2
7,17.379,5.0987,187835.97,47.1,2,0,0,2
4,12.971,6.8196,182278.44,34.43,1,0,1,2
26,27.572,3.2325,175181.47,73.55,1,0,3,2
52,37.773,2.3797,166296.01,71.23,-1,1,4,4
20,25.881,3.4398,158972.08,65.53,-3,0,1,2
48,35.175,2.5493,157446.88,90.63,4,0,0,2
6,16.873,5.2505,151382.89,41.02,-1,0,2,2
51,37.73,2.3823,149382.48,95.35,4,0,1,2
27,27.705,3.2173,135382.92,45.96,1,1,2,4
24,26.196,3.3991,126746.29,59.26,3,0,0,2
59,38.995,2.3079,124241.14,90.19,-4,0,3,2
45,34.198,2.6198,107710.17,51.4,-3,-1,2,4
39,32.816,2.727,105711.51,68.86,0,0,4,2
28,28.094,3.1736,92436.19,54.51,-3,0,2,2
46,34.518,2.5963,57155.19,53.5,-4,0,1,2
32,31.115,2.8721,54842.14,33.11,-1,1,3,4
49,35.661,2.5157,53495.96,53.63,1,0,4,2
62,39.671,2.2701,45841.96,39.48,0,2,1,4
37,32.557,2.7481,34906.81,27.74,2,1,2,4
16,24.327,3.6559,27084.3,25.34,-1,0,3,2
21,25.937,3.4325,10564.27,11.97,2,1,0,4
47,34.93,2.5666,3849.11,9.94,3,1,1,4
33,31.223,2.8624,3645,8.57,0,1,3,4
40,32.881,2.7217,2989.85,11.61,2,0,3,2
29,28.232,3.1585,960.7,3.95,2,1,1,4
34,32.272,2.7717,376.9,4.04,-1,0,4,2
8,17.705,5.0056,18.39,0.47,-2,0,1,2
