No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
2,9.674,9.1352,51741566.44,431.18,0,2,0,2
1,9.036,9.779,20600560.29,179.59,0,-1,-1,4
22,24.835,3.5822,10050539.98,352.77,-1,-1,2,4
27,25.969,3.4283,9880289.42,366.61,1,1,2,4
61,35.486,2.5277,9594083.93,505.11,1,6,0,4
21,24.811,3.5857,9084485.79,335.03,0,4,2,4
12,21.158,4.1957,8545318.09,275.17,0,3,2,4
28,26.253,3.3919,8444847.08,342.83,-1,-2,2,4
7,18.128,4.8895,7430512.11,218.74,0,2,2,4
32,28.469,3.1327,7386088.43,349.41,-1,-3,2,4
37,29.473,3.0282,7214631.98,358.35,1,3,2,4
65,36.34,2.4702,6700708.68,433.29,-1,1,4,4
34,28.872,3.0899,6419510.57,330.66,0,5,2,4
72,37.952,2.3689,5738436.41,420.59,1,1,4,4
81,39.737,2.2665,5514280.93,613.54,2,0,0,2
31,27.704,3.2175,4923110.1,277.11,1,4,0,4
29,27.332,3.2604,4893781.03,272.35,1,2,2,4
71,37.779,2.3794,3621031.68,332.42,0,7,2,4
80,39.695,2.2688,3378715.52,339.2,0,5,4,4
76,39.007,2.3072,3317287.22,329.64,-1,3,4,4
56,33.754,2.6533,3243391.3,278.09,0,5,3,4
26,25.937,3.4324,3159725.24,207.05,1,3,1,4
67,36.732,2.4448,2751913.38,280.96,0,4,4,4
30,27.338,3.2597,2656993.72,200.73,0,3,3,4
3,12.332,7.1714,2606539.35,87.46,0,2,1,4
59,34.695,2.5835,2393383.36,246.15,-1,-5,2,4
18,23.502,3.7824,2271414.72,158.27,1,2,1,4
62,35.54,2.5239,2260280.24,245.59,1,5,2,4
8,19.418,4.5676,2073399.4,175.39,0,4,0,2
50,32.253,2.7733,2068288.62,211.39,1,4,2,4
46,31.329,2.8529,1924350.06,197.61,-1,-4,2,4
25,25.542,3.4846,1901919.26,158.06,0,5,1,4
24,25.376,3.5071,1814282.22,153.31,-1,-3,1,4
16,21.919,4.0518,1583352.87,122.87,1,1,1,4
69,37.359,2.4051,1519959.27,212.74,-1,2,4,4
75,38.935,2.3113,1484945.85,220.09,1,2,4,4
55,33.217,2.6949,1477243.26,184.44,0,6,2,4
57,34.276,2.6141,1356172.83,182.85,0,3,4,4
54,33.183,2.6976,1353221.52,176.33,-1,3,3,4
77,39.187,2.297,1129925.24,193.37,0,-1,-5,4
58,34.493,2.5981,1097797.72,165.65,1,3,3,4
51,32.424,2.7591,1017893.37,149.14,0,2,4,4
4,15.295,5.7885,796994,85.13,0,0,-2,2
48,31.501,2.8378,785295.36,126.98,1,1,3,4
49,32.152,2.7817,766190.18,128.23,-1,-5,1,4
17,22.884,3.883,552624.12,75.93,-1,-2,1,4
64,36.145,2.4831,537354.26,121.98,-1,-6,1,4
39,30.075,2.9689,501755.58,96.57,-1,1,3,4
14,21.366,4.1553,496980.78,94.8,1,0,1,2
35,29.027,3.0737,472441.27,90.22,1,4,1,4
10,20.689,4.2899,472376.96,89.39,-1,0,1,2
66,36.555,2.4562,461055.71,114.39,1,6,1,4
5,16.049,5.5181,456255.66,47.84,0,-1,-2,4
53,32.651,2.7403,353840.35,88.6,1,2,3,4
63,35.704,2.5127,293577.3,88.95,-1,4,3,4
43,31.109,2.8726,285213.45,106.77,1,0,3,2
79,39.424,2.2838,280040.75,137.05,0,8,0,2
73,38.456,2.339,276858.51,93.74,-1,-6,2,4
36,29.306,3.0451,261835.59,95.96,0,6,0,2
52,32.606,2.744,256546.78,75.33,1,5,1,4
20,24.46,3.6363,194241.62,48.26,1,3,0,4
60,35.22,2.5461,193244.74,71.1,0,7,1,4
23,25.03,3.5548,139188.55,41.86,0,2,3,4
13,21.258,4.1763,136383.24,34.93,-1,-1,1,4
78,39.231,2.2945,132509.85,66.3,1,6,2,4
19,23.544,3.7757,127963.04,37.64,0,-1,-3,4
33,28.522,3.127,126552.82,45.83,-1,-4,1,4
11,20.89,4.2489,111483.37,31.02,0,4,1,4
38,29.666,3.0089,79804.35,53.67,-1,0,3,2
74,38.735,2.3228,69428.27,47.32,-1,5,3,4
41,30.327,2.9449,64264.69,34.87,0,6,1,4
45,31.273,2.8579,50913.39,32.08,-1,2,3,4
70,37.597,2.3905,48453.62,38.25,0,6,3,4
83,39.887,2.2583,32946.84,33.67,1,5,3,4
42,30.871,2.8942,28741.89,33.62,0,0,-4,2
15,21.871,4.0606,21975.78,14.44,1,2,0,4
6,16.433,5.3898,21477.41,10.63,0,3,1,4
9,20.167,4.3996,12931.96,10.19,1,1,0,4
82,39.821,2.2619,10442.67,18.92,1,7,0,4
44,31.265,2.8586,5976.19,10.99,0,-1,-4,4
40,30.296,2.9478,583.94,3.32,0,4,3,4
68,36.936,2.4317,300.67,2.95,1,4,3,4
47,31.42,2.8449,253.24,2.27,1,5,0,4
