No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
3,25.963,3.4291,2022452.42,135.39,0,1,1,6
1,13.047,6.78,1835799.54,109.91,0,0,1,2
6,34.752,2.5794,1294340.82,148.06,0,1,2,6
8,39.223,2.295,1024490.35,150.49,-1,2,0,6
10,41.507,2.1738,677557.34,92.17,-1,2,1,12
13,46.168,1.9647,585420.64,136.57,-1,1,3,6
15,47.641,1.9073,395600.46,116.33,-2,2,1,6
18,53.393,1.7146,381692.89,130.09,-2,2,2,6
28,68.222,1.3736,368900.23,118.63,-1,3,2,12
26,63.355,1.4668,340003.82,105.22,-1,3,1,12
40,76,1.2512,273865.01,113.49,-2,3,3,12
43,82.572,1.1674,246027.86,114.86,-1,2,5,12
24,62.145,1.4925,242663.4,123.08,0,2,3,6
7,34.752,2.5794,221143.38,61.2,-1,1,2,6
22,59.214,1.5592,207722.07,107.9,-1,1,4,6
32,71.091,1.325,180578.93,122.39,0,3,0,6
30,68.8,1.3634,155630.74,77.73,-1,2,4,12
50,86.49,1.1243,150765.75,92.52,-2,3,4,12
44,84.333,1.1475,117479.16,113.81,-2,4,0,6
2,22.347,3.9751,116444.37,27.76,0,1,0,6
35,73.35,1.2897,111684.93,99.21,0,2,4,6
12,46.168,1.9647,102276.37,57.08,0,1,3,6
47,85.817,1.1314,89415.62,70.94,-2,4,1,12
17,53.393,1.7146,67383.07,54.66,0,2,2,6
34,72.648,1.3004,66785.89,76.02,-3,3,1,6
33,72.648,1.3004,66751.49,76,0,3,1,6
29,68.222,1.3736,65962.62,50.16,-2,3,2,12
31,69.231,1.356,64885.24,123.72,0,0,5,2
19,54.06,1.695,52710.97,84.93,0,0,4,2
39,76,1.2512,49145.19,48.08,-1,3,3,12
25,62.145,1.4925,43086.49,51.86,-2,2,3,6
4,25.963,3.4291,28846.65,16.17,-1,1,1,6
11,45.606,1.9875,22270.65,26.27,0,2,0,6
23,61.688,1.5024,19244.9,24.31,-1,3,0,12
48,85.95,1.13,14872.42,70.93,0,0,6,2
53,88.645,1.1025,8005.85,21.58,-1,4,0,12
37,73.77,1.2834,5911.44,22.95,0,1,5,6
38,73.77,1.2834,5902.3,22.93,-1,1,5,6
52,86.894,1.1201,4152.3,21.77,-2,2,5,6
51,86.894,1.1201,4139.75,21.73,0,2,5,6
14,47.641,1.9073,3452.51,10.87,0,2,1,6
27,63.355,1.4668,2537.78,9.09,-2,3,1,12
21,59.214,1.5592,1611.35,9.5,0,1,4,6
49,86.49,1.1243,901,7.15,-1,3,4,12
36,73.35,1.2897,764.8,8.21,-2,2,4,6
16,47.823,1.9005,275.31,2.18,-1,2,2,12
20,57.157,1.6103,245.53,2.52,-1,2,3,12
42,77.244,1.2341,86.22,2.89,-3,3,2,6
41,77.244,1.2341,85.5,2.88,0,3,2,6
45,84.737,1.143,85.25,3.07,0,3,3,6
46,84.737,1.143,84.65,3.06,-3,3,3,6
9,39.856,2.26,39.96,1.66,0,0,3,2
5,26.268,3.39,10.31,0.54,0,0,2,2
